,ISBN,title,series,author,rating,genre,publish_company,format,number_of_pages,publish_month,publish_year,NYT_bestseller,top5,length_of_title,top_authors
20,9781455567300,"AgeProof: How to Live Longer Without Breaking a Hip, Running Out of Money, or Forgetting Where You Put It--The 8 Secrets",0,Jean Chatzky,3.37,non-fiction,Hachette,Hardcover,336,March,2017,1.0,1,120,0
21,9781455540419,Al Franken: Giant of the Senate,0,Al Franken,4.34,non-fiction,Hachette,Hardcover,406,May,2017,1.0,1,31,0
22,9781481463331,All American Boys,0,Jason Reynolds,4.29,young-adult,Atheneum/Caitlyn Dlouhy Books,Hardcover,316,September,2015,1.0,0,17,0
23,9781466885806,All the Ugly and Wonderful Things,0,Bryn Greenwood,4.07,fiction,Macmillan,ebook,365,August,2016,1.0,1,33,0
24,9781101885710,EveryDayCook,0,Alton Brown,4.25,food-and-drink,Penguin Random House,Hardcover,304,September,2016,1.0,1,12,0
25,9781439100516,American Assassin,1,Vince Flynn,4.23,thriller,Simon & Schuster,ebook,448,October,2010,1.0,1,17,0
26,9780061792663,American Gods,1,Neil Gaiman,4.11,fantasy,Harper Collins,ebook,541,June,2001,1.0,1,13,0
27,9781591848141,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,0,Nick Bilton,4.31,non-fiction,Portfolio,Hardcover,328,May,2017,1.0,0,80,0
28,9781101986158,American Radical: Inside the World of an Undercover Muslim FBI Agent,0,Tamer Elnoury,4.33,non-fiction,Dutton Books,Hardcover,347,October,2017,1.0,0,68,0
29,9781481497589,An Enchantment of Ravens,0,Margaret  Rogerson,3.66,fantasy,Margaret K. McElderry Books,Hardcover,300,September,2017,1.0,0,24,0
30,9781635651089,An Inconvenient Sequel: Truth to Power,0,Al Gore,3.73,non-fiction,Rodale Books,Paperback,320,July,2017,1.0,0,38,0
31,9780553522310,And I Darken,1,Kiersten White,3.88,historical,Penguin Random House,Hardcover,475,June,2016,1.0,1,12,0
32,9780812989403,Anything Is Possible,1,Elizabeth Strout,3.75,fiction,Penguin Random House,Hardcover,254,April,2017,1.0,1,20,0
33,9781101987971,Apprentice in Death,1,J.D. Robb,4.42,mystery,Penguin Random House,Hardcover,375,September,2016,1.0,1,19,0
34,9780451488251,Archangel's Viper,1,Nalini Singh,4.26,romance,Penguin Random House,ebook,361,September,2017,1.0,1,17,0
35,9780525433675,Arrival,0,Ted Chiang,4.26,science-fiction,Vintage ,Paperback,304,November,2016,1.0,0,7,0
36,9781421576077,"Assassination Classroom, Vol. 01",1,Yūsei Matsui,4.3,sequential-art,VIZ Media LLC ,Paperback,192,December,2014,1.0,0,32,0
37,9781590514887,"At the Existentialist Café: Freedom, Being, and Apricot Cocktails with Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Maurice Merleau-Ponty and Others",0,Sarah Bakewell,4.21,philosophy,Other Press,Hardcover,327,March,2016,1.0,0,173,0
38,9781612620244,"Attack on Titan, Vol. 1",1,Hajime Isayama,4.42,sequential-art,Kodansha Comics ,Paperback,193,June,2012,1.0,0,23,0
39,9781632363091,"Attack on Titan, Vol. 20",1,Hajime Isayama,4.58,sequential-art,Kodansha Comics ,Paperback,192,December,2016,1.0,0,24,0
40,9780399563300,Autumn,1,Karl Ove Knausgård,3.71,non-fiction,Penguin Random House,Hardcover,224,August,2017,1.0,1,6,0
41,9780804140041,"Avenue of Spies: A True Story of Terror, Espionage, and One American Family's Heroic Resistance in Nazi-Occupied Paris",0,Alex Kershaw,3.95,history,Broadway Books,ebook,320,August,2015,1.0,0,118,0
42,9781596436695,Bad Kitty for President,1,Nick Bruel,4.23,humor,Roaring Brook Press ,Hardcover,144,January,2012,1.0,0,23,0
43,9781455596300,"Ballerina Body: Dancing and Eating Your Way to a Leaner, Stronger, and More Graceful You",0,Misty Copeland,3.66,non-fiction,Hachette,Hardcover,240,March,2017,1.0,1,88,0
44,9781617732201,Banana Cream Pie Murder,1,Joanne Fluke,3.51,mystery,Kensington,Hardcover,355,February,2017,1.0,0,23,0
45,9780735217232,Barely Legal,1,Stuart Woods,3.85,mystery,Penguin Random House,Hardcover,368,August,2017,1.0,1,12,0
46,9781481468640,Baseball Genius,1,Tim Green,4.25,sports-and-games,Aladdin,Hardcover,352,March,2017,1.0,0,15,0
47,9781401267735,"Batman, Volume 10: Epilogue",1,Scott Snyder,3.47,sequential-art,DC Comics ,Hardcover,176,December,2016,1.0,0,27,0
48,9781401216672,Batman: The Killing Joke,1,Alan Moore,4.37,sequential-art,DC Comics ,Hardcover,64,March,2008,1.0,0,24,0
49,9781478992172,Be Fierce: Stop Harassment and Take Your Power Back,0,Gretchen Carlson,3.93,non-fiction,Center Street,Hardcover,256,October,2017,1.0,0,51,0
50,9781501125461,Beach House for Rent,1,Mary Alice Monroe,4.08,fiction,Simon & Schuster,Hardcover,408,June,2017,1.0,1,20,0
51,9780061726804,Before I Fall,0,Lauren Oliver,3.91,young-adult,Harper Collins,Hardcover,490,March,2010,1.0,1,13,0
52,9781250111173,Behind Her Eyes,0,Sarah Pinborough,3.75,thriller,Macmillan,Hardcover,307,January,2017,1.0,1,15,0
53,9780399175831,"Believe Me: A Memoir of Love, Death, and Jazz Chickens",0,Eddie Izzard,3.82,non-fiction,Blue Rider Press ,Hardcover,348,June,2017,1.0,0,54,0
54,9780399573972,Below the Belt,1,Stuart Woods,3.96,mystery,Penguin Random House,Hardcover,325,January,2017,1.0,1,14,0
55,9781328791825,Beren and Lúthien,1,J.R.R. Tolkien,3.98,fantasy,Houghton Mifflin Harcourt,Hardcover,288,June,2017,1.0,0,17,0
56,9780544812116,The Best American Nonrequired Reading 2016,1,Rachel Kushner,3.88,fiction,Mariner Books,Paperback,432,October,2016,1.0,0,42,0
57,9780399180026,"Beyond the Messy Truth: How We Came Apart, How We Come Together",0,Van Jones,4.17,politics,Penguin Random House,Hardcover,256,October,2017,1.0,1,63,0
58,9781630060879,Big Agenda: President Trump's Plan to Save America,0,David Horowitz,4.18,politics,Humanix Books,Hardcover,208,January,2017,1.0,0,50,0
59,9781250150646,Billionaire at the Barricades: The Populist Revolution from Reagan to Trump,0,Laura Ingraham,4.18,politics,Macmillan,Hardcover,320,October,2017,1.0,1,75,0
61,9780316080842,"Black Butler, Vol. 1",1,Yana Toboso,4.37,sequential-art,Yen Press ,Paperback,192,January,2010,1.0,0,20,0
62,9780812995800,"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street",0,Sheelah Kolhatkar,4.2,non-fiction,Penguin Random House,Hardcover,295,February,2017,1.0,1,107,0
63,9781501145308,Black Privilege: Opportunity Comes to Those Who Create It,0,Charlamagne Tha God,4.31,non-fiction,Simon & Schuster,Hardcover,320,April,2017,1.0,1,57,0
64,9781250130136,"Blast the Sugar Out!: Lower Blood Sugar, Lose Weight, Live Better",0,Ian K. Smith,3.49,non-fiction,Macmillan,Hardcover,240,April,2017,1.0,1,65,0
65,9781328663795,Blitzed: Drugs in the Third Reich,0,Norman Ohler,4.02,history,Houghton Mifflin Harcourt ,Hardcover,304,March,2017,1.0,0,33,0
66,9780345531056,Blue,0,Danielle Steel,4.12,fiction,Penguin Random House,Hardcover,336,January,2016,1.0,1,4,1
67,9781421590417,"Blue Exorcist, Vol. 16",1,Kazue Kato,4.25,sequential-art,VIZ Media LLC ,Paperback,218,December,2016,1.0,0,22,0
68,9780316314046,Blue Ocean Shift: Beyond Competing - Proven Steps to Inspire Confidence and Seize New Growth,0,W. Chan Kim,3.91,business,Hachette,Hardcover,336,September,2017,1.0,1,92,0
69,9780062424969,Bone Box,1,Faye Kellerman,3.95,mystery,Harper Collins,Hardcover,415,February,2017,1.0,1,8,0
70,9781501141515,Born to Run,0,Bruce Springsteen,4.19,non-fiction,Simon & Schuster,Hardcover,528,September,2016,1.0,1,11,0
71,9780399583940,Bound Together,1,Christine Feehan,4.44,fantasy,Jove,ebook,416,March,2017,1.0,0,14,0
72,9780393239867,BraveTart: Iconic American Desserts,0,Stella Parks,4.25,food-and-drink,W. W. NortonCompany,Hardcover,400,August,2017,1.0,0,35,0
73,9780345541406,Breakdown,1,Jonathan Kellerman,3.92,mystery,Penguin Random House,Hardcover,350,February,2016,1.0,1,9,0
74,9780698176195,Brighter than the Sun,1,Maya Banks,4.02,romance,Penguin Random House,ebook,336,March,2017,1.0,1,21,0
75,9781501142543,Britt-Marie Was Here,0,Fredrik Backman,4.07,fiction,Washington Square Press ,Paperback,324,February,2017,1.0,0,20,0
76,9780399256196,The Outcasts,1,John Flanagan,4.38,fantasy,Philomel Books ,Hardcover,434,November,2011,1.0,0,12,0
77,9780399252518,Brown Girl Dreaming,0,Jacqueline Woodson,4.14,poetry,Nancy Paulsen Books,Hardcover,337,August,2014,1.0,0,19,0
78,9780786035557,Brutal Night of the Mountain Man,1,William W. Johnstone,4.21,westerns,Pinnacle Books,Mass Market Paperback,357,November,2016,1.0,0,32,0
79,9781455588749,Bunny Mellon: The Life of an American Style Legend,0,Meryl Gordon,3.97,biography,Hachette,Hardcover,528,September,2017,1.0,1,50,0
80,9781943893218,Burn,1,Helen Hardt,4.48,romance,Waterhouse Press,Paperback,288,February,2017,1.0,0,4,0
81,9780062412386,Burning Glass,1,Kathryn Purdie,3.42,fantasy,Harper Collins,ebook,528,March,2016,1.0,1,13,0
82,9781540345288,Buttons and Pain,1,Penelope Sky,4.34,romance,Createspace Independent Publishing Platform ,Paperback,391,May,2017,1.0,0,16,0
83,9780307701640,The Case Against Sugar,0,Gary Taubes,3.84,non-fiction,Penguin Random House,Hardcover,384,December,2016,1.0,1,22,0
84,9780345511492,Catalyst: A Rogue One Novel,1,James Luceno,3.73,media-tie-in,Del Rey,Hardcover,330,November,2016,1.0,0,27,0
85,9781937268053,"Change Your Home, Change Your Life with Color: What's Your Color Story?",0,Moll Anderson,3.77,non-fiction,Post Hill Press,Hardcover,256,March,2017,1.0,0,71,0
86,9780399581182,Chasing Light: Michelle Obama Through the Lens of a White House Photographer,0,Amanda Lucidon,4.52,non-fiction,Ten Speed Press,Hardcover,224,October,2017,1.0,0,76,0
87,9781594206139,Churchill and Orwell: The Fight for Freedom,0,Thomas E. Ricks,4.04,history,Penguin Random House,Hardcover,352,May,2017,1.0,1,43,0
88,9781555976903,Citizen: An American Lyric,0,Claudia Rankine,4.28,poetry,Graywolf Press,Paperback,169,October,2014,1.0,0,26,0
89,9781501110726,Clawback,1,J.A. Jance,4.01,mystery,Simon & Schuster,Hardcover,324,March,2016,1.0,1,8,0
90,9781250142078,"Climate of Hope: How Cities, Businesses, and Citizens Can Save the Planet",0,Michael R. Bloomberg,4.17,non-fiction,Macmillan,Hardcover,272,April,2017,1.0,1,73,0
91,9781455542277,Coach Wooden and Me: Our 50-Year Friendship On and Off the Court,0,Kareem Abdul-Jabbar,4.36,sports-and-games,Hachette,Hardcover,304,May,2017,1.0,1,64,0
92,9781524739058,Come with Me,0,Holly M.    McGhee,4.04,childrens,Penguin Random House,Hardcover,40,September,2017,1.0,1,12,0
93,9780307718280,Coming to My Senses: The Making of a Counterculture Cook,0,Alice Waters,3.33,food-and-drink,Clarkson Potter Publishers,Hardcover,304,September,2017,1.0,0,56,0
94,9780062491794,Commonwealth,0,Ann Patchett,3.81,fiction,Harper Collins,Hardcover,322,September,2016,1.0,1,12,0
95,9780399592911,Conscience of a Conservative: A Rejection of Destructive Politics and a Return to Principle,0,Jeff Flake,3.87,politics,Penguin Random House,Hardcover,140,August,2017,1.0,1,91,0
96,9780307464897,Cooking for Jeffrey: A Barefoot Contessa Cookbook,0,Ina Garten,4.15,food-and-drink,Clarkson Potter,Hardcover,256,October,2016,1.0,0,49,0
97,9780143128090,"Cork Dork: A Wine-Fueled Adventure Among the Obsessive Sommeliers, Big Bottle Hunters, and Rogue Scientists Who Taught Me to Live for Taste",0,Bianca Bosker,3.9,non-fiction,Penguin Random House,Paperback,329,March,2017,1.0,1,139,0
98,9780803738553,Counting by 7s,0,Holly Goldberg Sloan,4.16,young-adult,Dial Books,Hardcover,380,August,2013,1.0,0,14,0
99,9780310759669,"Courage to Soar: A Body in Motion, A Life in Balance",0,Simone Biles,4.22,non-fiction,Zondervan,Hardcover,256,November,2016,1.0,0,52,0
100,9781420140651,Crash and Burn,1,Fern Michaels,4.29,mystery,Zebra,Paperback,368,December,2016,1.0,0,14,0
101,9780316431316,Crazy House,1,James Patterson,3.75,young-adult,Hachette,Hardcover,354,May,2017,1.0,1,11,1
102,9780486803821,Creative Haven Dazzling Dogs Coloring Book,0,Marjorie Sarnat,4.43,colouring-books,Dover Publications,Paperback,64,May,2016,1.0,0,42,0
103,9780399594601,Crime Scene,1,Jonathan Kellerman,3.68,mystery,Penguin Random House,Hardcover,385,August,2017,1.0,1,11,0
104,9780316407045,Cross Justice,1,James Patterson,4.23,mystery,Hachette,Hardcover,420,November,2015,1.0,1,13,1
105,9780316407090,Cross the Line,1,James Patterson,4.03,mystery,Hachette,Hardcover,373,November,2016,1.0,1,14,1
106,9780553392685,Curious Minds,1,Janet Evanovich,3.68,mystery,Bantam Dell,Hardcover,322,August,2016,1.0,0,13,0
107,9780399176739,Curtain of Death,1,W.E.B. Griffin,4.07,historical,Penguin Random House,Hardcover,467,December,2016,1.0,1,16,0
108,9781524701451,Dan and Phil Go Outside,0,Dan Howell,4.53,non-fiction,Penguin Random House,Hardcover,224,November,2016,1.0,1,23,0
109,9780692893449,Dangerous,0,Milo Yiannopoulos,4.12,politics,Dangerous Books ,Hardcover,232,July,2017,1.0,0,9,0
110,9780553392746,Dangerous Minds,1,Janet Evanovich,3.59,mystery,Bantam,Hardcover,319,June,2017,1.0,0,15,0
111,9780735290518,Daring to Hope: Finding God's Goodness in the Broken and the Beautiful,0,Katie Davis Majors,4.54,non-fiction,Multnomah Books,Hardcover,209,October,2017,1.0,0,70,0
112,9780399583995,Dark Legacy,1,Christine Feehan,4.4,fantasy,Penguin Random House,Hardcover,399,September,2017,1.0,1,11,0
113,9780385535595,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,0,Jane Mayer,4.34,non-fiction,Penguin Random House,Hardcover,464,January,2016,1.0,1,87,0
114,9781452106557,Darth Vader and Son,1,Jeffrey Brown,4.15,sequential-art,Chronicle Books,Hardcover,64,April,2012,1.0,0,19,0
115,9781101984048,Deadfall,1,Linda Fairstein,3.75,mystery,Dutton,Hardcover,385,July,2017,1.0,0,8,0
116,9781101939499,Dear Martin,0,Nic Stone,4.35,young-adult,Penguin Random House,Hardcover,210,October,2017,1.0,1,11,0
117,9781421539645,"Death Note: Black Edition, Vol. 1",1,Tsugumi Ohba,4.46,sequential-art,VIZ Media LLC ,Paperback,392,December,2010,1.0,0,33,0
118,9780765388216,Death's Mistress,1,Terry Goodkind,3.92,fantasy,Macmillan,Hardcover,512,January,2017,1.0,1,16,0
119,9780399176067,Deep Freeze,1,John Sandford,4.17,mystery,Penguin Random House,Hardcover,391,October,2017,1.0,1,11,0
121,9781501123597,Democracy Now!: Twenty Years Covering the Movements Changing America,0,Amy Goodman,4.27,politics,Simon & Schuster,Paperback,384,April,2017,1.0,1,68,0
122,9781426215643,Destinations of a Lifetime: 225 of the World's Most Amazing Places,0,National Geographic Society,4.32,travel,National Geographic,Hardcover,320,October,2015,1.0,0,66,0
123,9780316469746,Detective Cross,1,James Patterson,4.1,mystery,Bookshots,ebook,144,May,2017,1.0,0,15,1
124,9780451475305,Devil's Cut,1,J.R. Ward,4.3,romance,Penguin Random House,Hardcover,397,August,2017,1.0,1,11,0
125,9781439187883,Diana: Her True Story in Her Own Words,0,Andrew Morton,3.81,biography,Simon & Schuster,ebook,432,December,2009,1.0,1,38,0
126,9780345469373,Distant Shores,0,Kristin Hannah,3.7,fiction,Penguin Random House,Paperback,355,June,2011,1.0,1,14,0
127,9780316277174,Do I Make Myself Clear? Why Writing Well Matters,0,Harold Evans,3.57,language,Hachette,Hardcover,416,May,2017,1.0,1,48,0
128,9780399542299,Doctor Who Coloring Book,0,Roger Price,4.47,colouring-books,Price Stern Sloan ,Paperback,96,February,2016,1.0,0,24,0
129,9781501151873,domino: Your Guide to a Stylish Home,0,Domino,3.69,non-fiction,Simon & Schuster,Hardcover,224,November,2016,1.0,1,36,0
130,9780525955115,Don't Let Go,0,Harlan Coben,4.06,mystery,Dutton Books,Hardcover,351,September,2017,1.0,0,12,0
131,9781250121288,Down a Dark Road,1,Linda Castillo,4.17,mystery,Macmillan,Hardcover,320,July,2017,1.0,1,16,0
132,9780062473356,Dragon Teeth,0,Michael Crichton,3.77,historical,Harper Collins,Hardcover,292,May,2017,1.0,1,12,0
134,9780763665302,Du Iz Tak?,0,Carson Ellis,4.02,childrens,Candlewick Press,Hardcover,48,October,2016,1.0,0,10,0
135,9780062740304,Dunkirk: The History Behind the Major Motion Picture,0,Joshua Levine,3.71,history,Harper Collins,Paperback,368,June,2017,1.0,1,52,0
136,9780778330226,Dying Breath,1,Heather Graham,4.16,fantasy,MIRA,Mass Market Paperback,378,May,2017,1.0,0,12,0
137,9780802126474,Earthly Remains,1,Donna Leon,4.01,mystery,Atlantic Monthly Press,Hardcover,304,April,2017,1.0,0,15,0
138,9781250123114,Echoes in Death,1,J.D. Robb,4.4,mystery,Macmillan,Hardcover,371,February,2017,1.0,1,15,0
139,9781501174537,Elites of Eden,1,Joey Graceffa,4.24,young-adult,Atria/Keywords Press,Hardcover,279,October,2017,1.0,0,14,0
140,9781501169274,The Emigrant Edge: How to Make It Big in America,0,Brian Buffini,4.18,business,Howard Books,Hardcover,320,August,2017,1.0,0,48,0
141,9780375414145,Empire of Cotton: A Global History,0,Sven Beckert,3.83,history,Penguin Random House,Hardcover,640,December,2014,1.0,1,34,0
142,9780375970894,Escape from Mr. Lemoncello's Library,1,Chris Grabenstein,4.13,mystery,Penguin Random House,Hardcover,304,June,2013,1.0,1,36,0
143,9780451474490,Etched in Bone,1,Anne Bishop,4.31,fantasy,Roc,Hardcover,397,March,2017,1.0,0,14,0
144,9781488022661,Everything for Her,1,Alexa Riley,3.93,romance,Carina Press,ebook,365,December,2016,1.0,0,18,0
145,9780735212176,Exit West,0,Mohsin Hamid,3.8,fiction,Riverhead,Hardcover,231,March,2017,1.0,0,9,0
146,9781250099716,Exposed,1,Lisa Scottoline,4.06,mystery,Macmillan,Hardcover,341,August,2017,1.0,1,7,0
147,9780143129578,Eyes Wide Open: Overcoming Obstacles and Recognizing Opportunities in a World That Can't See Clearly,0,Isaac Lidsky,3.79,self-help,Tarcherperigee,Hardcover,320,March,2017,1.0,0,100,0
148,9781606412381,Keys to the Demon Prison,1,Brandon Mull,4.43,fantasy,Shadow Mountain ,Hardcover,593,March,2010,1.0,0,24,0
149,9781612622767,"Fairy Tail, Vol. 01",1,Hiro Mashima,4.39,sequential-art,Kodansha Comics ,Paperback,208,August,2012,1.0,0,19,0
150,9781101884065,Fairytale,0,Danielle Steel,3.91,romance,Penguin Random House,Hardcover,277,October,2017,1.0,1,9,1
151,9780062273628,Falling for the Highlander,1,Lynsay Sands,3.91,romance,Harper Collins,ebook,384,January,2017,1.0,1,26,0
152,9780062435842,Fallout,1,Sara Paretsky,3.95,mystery,Harper Collins,Hardcover,448,April,2017,1.0,1,7,0
153,9780399174698,Family Jewels,1,Stuart Woods,3.83,mystery,Penguin Random House,Hardcover,311,April,2016,1.0,1,13,0
154,9780399574191,Fast and Loose,1,Stuart Woods,3.83,mystery,Penguin Random House,Hardcover,368,April,2017,1.0,1,14,0
155,9781501115677,Fatal,0,John Lescroart,3.58,thriller,Simon & Schuster,Hardcover,320,January,2017,1.0,1,5,0
156,9781460399989,Fatal Threat: A Novel of Romantic Suspense,1,Marie Force,4.55,romance,HQN Books,ebook,384,July,2017,1.0,0,42,0
157,9780996839440,Fidelity,1,Aleatha Romig,4.48,romance,"Romig Works, LLC",ebook,350,January,2017,1.0,0,8,0
158,9781616559458,Fight Club 2,1,Chuck Palahniuk,3.06,sequential-art,Dark Horse Books ,Hardcover,256,June,2016,1.0,0,12,0
159,9780525954576,Find Her,1,Lisa Gardner,4.13,mystery,Dutton,Hardcover,402,February,2016,1.0,0,8,0
160,9781101967140,Food Swings: 125+ Recipes to Enjoy Your Life of Virtue and Vice,0,Jessica Seinfeld,3.85,food-and-drink,Penguin Random House,Hardcover,288,April,2017,1.0,1,63,0
161,9781250126535,"Food, Health and Happiness: 115 On-Point Recipes for Great Meals and a Better Life",0,Oprah Winfrey,3.71,food-and-drink,Macmillan,Hardcover,240,January,2017,1.0,1,82,0
162,9780373789702,Forever a Hero,1,Linda Lael Miller,4.03,romance,Hqn,Mass Market Paperback,400,March,2017,1.0,0,14,0
163,9780393249897,From Here to Eternity: Traveling the World to Find the Good Death,0,Caitlin Doughty,4.29,non-fiction,W. W. Norton & Company,Hardcover,248,October,2017,1.0,0,65,0
164,9780316273251,Frostblood,1,Elly Blake,3.87,fantasy,Hachette,Hardcover,376,January,2017,1.0,1,10,0
165,9780385531429,Full Wolf Moon,1,Lincoln Child,3.68,thriller,Penguin Random House,Hardcover,244,May,2017,1.0,1,14,0
166,9780618871711,Fun Home: A Family Tragicomic,0,Alison Bechdel,4.08,sequential-art,Mariner Books ,Paperback,232,June,2007,1.0,0,29,0
167,9780062694058,Future Home of the Living God,0,Louise Erdrich,3.54,fiction,Harper Collins,Hardcover,263,November,2017,1.0,1,29,0
168,9780062493743,Generation One,1,Pittacus Lore,4.25,young-adult,Harper Collins,Hardcover,416,June,2017,1.0,1,14,0
169,9780385744775,Genuine Fraud,0,E. Lockhart,3.34,young-adult,Penguin Random House,Hardcover,262,September,2017,1.0,1,13,0
170,9781595231031,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,0,Brian Kilmeade,3.8,history,Sentinel,Hardcover,235,November,2013,1.0,0,79,0
171,9780316505079,Get Your Sh*t Together: How to Stop Worrying About What You Should Do So You Can Finish What You Need to Do and Start Doing What You Want to Do (A No F*cks Given Guide),0,Sarah Knight,3.69,non-fiction,Hachette,Hardcover,304,December,2016,1.0,1,168,0
172,9780545540612,Ghosts,0,Raina Telgemeier,4.21,sequential-art,Graphix,Hardcover,256,September,2016,1.0,0,6,0
173,9780316276887,Give Please a Chance,0,Bill O'Reilly,3.29,childrens,jimmy patterson,Hardcover,56,November,2016,1.0,0,20,0
174,9781250066190,Glass Houses,1,Louise Penny,4.31,mystery,Macmillan,Hardcover,391,August,2017,1.0,1,12,0
175,9780553394726,God: A Human History,0,Reza Aslan,3.98,religion,Penguin Random House,Hardcover,320,November,2017,1.0,1,20,0
176,9781478976714,"God, Faith, and Reason",0,Michael Savage,3.76,religion,Center Street,Hardcover,256,November,2017,1.0,0,22,0
177,9781250032898,Gold Dust Woman: A Biography of Stevie Nicks,0,Stephen Davis,3.59,biography,Macmillan,Hardcover,320,September,2017,1.0,1,44,0
178,9781501139086,"Good Grief: Heal Your Soul, Honor Your Loved Ones, and Learn to Live Again",0,Theresa Caputo,4.07,non-fiction,Simon & Schuster,Hardcover,224,March,2017,1.0,1,74,0
179,9781455541553,Goop Clean Beauty,0,The Editors of GOOP,3.44,non-fiction,Hachette,Hardcover,288,December,2016,1.0,1,17,0
180,9781621574903,Gosnell: The Untold Story of America's Most Prolific Serial Killer,0,Ann McElhinney,4.22,crime,Regnery Publishing ,ebook,256,January,2017,1.0,0,66,0
181,9780544052703,Greenglass House,1,Kate Milford,3.99,mystery,Clarion Books,Hardcover,376,August,2014,1.0,0,16,0
182,9780544453678,"Gunslinger: The Remarkable, Improbable, Iconic Life of Brett Favre",0,Jeff Pearlman,4.18,sports-and-games,Mariner Books,ebook,352,October,2016,1.0,0,66,0
183,9780802123411,H Is for Hawk,0,Helen Macdonald,3.73,non-fiction,"Grove/Atlantic, Inc. - Grove/Atlantic, Inc. - Grove Press",Hardcover,300,March,2015,1.0,0,13,0
184,9781250125606,Hail to the Chin: Further Confessions of a B Movie Actor,0,Bruce Campbell,4.09,non-fiction,Thomas Dunne Books ,Hardcover,308,August,2017,1.0,0,56,0
185,9781455539741,Hamilton: The Revolution,0,Lin-Manuel Miranda,4.47,non-fiction,Hachette,Hardcover,285,April,2016,1.0,1,24,0
186,9780316273978,Haunted,1,James Patterson,3.99,mystery,Hachette,Hardcover,317,September,2017,1.0,1,7,1
187,9780062652430,"Head Strong: The Bulletproof Plan to Boost Brainpower, Increase Focus, and Maximize Performance-in Just Two Weeks",0,Dave Asprey,3.84,health,Harper Collins,ebook,256,April,2017,1.0,1,113,0
188,9780345541437,Heartbreak Hotel,1,Jonathan Kellerman,3.85,mystery,Penguin Random House,Hardcover,368,February,2017,1.0,1,16,0
189,9781250044655,Heartless,0,Marissa Meyer,4.05,fantasy,Macmillan,Hardcover,453,November,2016,1.0,1,9,0
